chr17	7572925	7573008	83
chr17	7573926	7574033	107
chr17	7576524	7576657	133
chr17	7576852	7576926	74
chr17	7577018	7577155	137
chr17	7577498	7577608	110
chr17	7578136	7578554	418
chr17	7579311	7579912	601
chr17	7590694	7590868	174
chr9	21968157	21968244	87
chr9	21968573	21968770	197
chr9	21970874	21971257	383
chr9	21974360	21975132	772
chr9	21994131	21994451	320
chr7	55086969	55087058	89
chr7	55209978	55210130	152
chr7	55210997	55211181	184
chr7	55214298	55214433	135
chr7	55218986	55219055	69
chr7	55220238	55220357	119
chr7	55221703	55221845	142
chr7	55223522	55223639	117
chr7	55224225	55224352	127
chr7	55224451	55224644	193
chr7	55225355	55225446	91
chr7	55227831	55228031	200
chr7	55229191	55229324	133
chr7	55231425	55231516	91
chr7	55232972	55233130	158
chr7	55236215	55236328	113
chr7	55237999	55238237	238
chr7	55238867	55238906	39
chr7	55240675	55240817	142
chr7	55241613	55241736	123
chr7	55242414	55242513	99
chr7	55248985	55249171	186
chr7	55259411	55259567	156
chr7	55260458	55260534	76
chr7	55266409	55266556	147
chr7	55268008	55268106	98
chr7	55268880	55269048	168
chr7	55269427	55269475	48
chr7	55270209	55270318	109
chr7	55272948	55273311	363
chr2	178866311	178866391	80
chr3	178916537	178916965	428
chr3	178917477	178917687	210
chr3	178919077	178919328	251
chr3	178921331	178921577	246
chr3	178922290	178922376	86
chr3	178927382	178927488	106
chr3	178927973	178928126	153
chr3	178928218	178928353	135
chr3	178935997	178936122	125
chr3	178936983	178937065	82
chr3	178937358	178937523	165
chr3	178937736	178937840	104
chr3	178938773	178938945	172
chr3	178941868	178941975	107
chr3	178942487	178942609	122
chr3	178943749	178943828	79
chr3	178947059	178947230	171
chr3	178947791	178947909	118
chr3	178948012	178948164	152
chr3	178951881	178952185	304
