Size (bp),CT_PD1,NE_MRL1, YC_PD1,CT_Large3,CT_PD2,NE_MRL2, YC_PD2,CT_PD3,NE_MRL3, YC_PD3,CT_MRL1,NE_PD1, YC_MRL1,CT_MRL2,NE_PD2, YC_MRL2,CT_MRL3,NE_PD3, YC_MRL3,CT_Large1,NE_Large1, YC_Large1,CT_Large2,NE_Large2, YC_Large2,NE_Large3,YC_Large3
166.31,12.35,19.03,15.45,1.39,24.01,18.87,30.79,16.84,13.95,14.25,20.69,13.18,50.49,21.64,11.25,11.85,18.85,17.85,11.97,11.1,15.84,3.49,10.78,8.58,4.9,13.47,5.66
166.83,12.23,18.53,14.83,0.45,21.96,18.64,28.68,15.84,14.2,13.54,18.51,13.69,47.68,22.5,12.04,11.85,17.59,17.1,11.34,10.21,14.28,2.46,9.09,8.52,4.93,12.58,5.11
167.35,12.01,18.72,15.3,0.78,20.74,18.79,26.16,14.4,13.14,12.63,17.47,13.71,47.03,22.1,12.72,11.85,15.37,17.07,11.05,9,12.66,2.43,6.41,8.3,5.73,10.63,5
167.86,11.37,18.33,16.7,2.4,19.6,17.59,23.88,12.51,11.55,11.83,17.2,12.64,46.28,20.6,12.83,11.68,13.7,17.15,10.67,7.62,10.24,2.63,5.04,7.67,6.18,9.12,5.49
168.38,10.63,16.8,17.75,3.79,18.45,15.27,22.45,10.85,10.63,11.42,17.42,11.36,44.71,19.21,12.2,11.45,13.51,16.78,10.25,6.7,7.81,2,5.51,6.86,6.31,9.57,5.99
168.9,10.57,15.28,17.92,3.71,17.01,13.63,21.55,10.66,10.55,11.07,17.85,10.72,43.51,18.71,11.23,11.04,14.3,16,10.06,7.09,6.41,0.78,6.87,6.69,6.81,11.31,5.89
169.42,11.47,14.39,17.77,2.61,15.26,13.66,21.16,12.14,10.88,10.4,18.44,10.5,43.76,18.9,10.63,10.72,15.29,15.38,9.8,8.9,6.44,-0.05,8.04,7.16,7.5,12.54,4.92
169.94,12.82,13.82,17.94,1.91,13.74,14.41,21.94,14.09,11.39,9.56,19.15,10.39,44.17,19.27,10.35,10.89,15.91,15.17,10.56,10.74,7.59,-0.12,8.23,7.28,7.61,13.51,3.2
170.46,13.36,14.95,18.24,2.22,13.32,13.44,23.65,15.69,11.92,8.94,19.27,10.79,44.59,19.79,10.17,11.42,15.71,15.26,11.37,10.9,9.17,0.35,7.69,6.62,7,15.17,3.69
170.97,13.91,16.09,18.54,2.82,14.18,12.55,24.69,17,12.47,8.75,18.21,11.84,44.39,20.55,10.27,11.97,14.68,15.7,10.69,9.35,10.52,0.72,7.57,6.05,6.25,16.22,4.37
171.49,14.27,16.07,18.86,3.23,15.3,12.64,24.38,17.4,13.61,8.63,16.54,12.48,43.05,21.12,10.57,12.33,13.53,16.42,9.08,7.78,10.82,0.44,7.68,6.32,5.89,15.06,4.64
172.01,13.55,15.45,17.81,4.06,15.66,13.71,24.14,16.15,15.38,8.16,15.47,11.84,42.07,21.09,10.7,12.42,13.17,16.98,8.59,7.72,9.54,-0.13,6.99,7.54,5.86,12.89,4.29
172.53,12.3,15.7,15.42,5.58,15.34,15.19,24.9,14.42,16.35,7.53,15.75,10.76,42.6,20.91,10.75,12.5,13.72,16.82,10.06,9.05,7.36,-0.5,6.56,9.55,5.8,12.13,3.65
173.05,11.66,17.27,13.24,6.89,14.89,16.44,25.77,13.85,15.72,7.37,17.34,10.5,43.92,20.91,11.14,12.8,14.45,15.71,12.14,10.57,5.76,-0.83,8.12,11.44,5.6,13.6,3.42
173.57,11.55,19.08,12.31,7.18,14.31,17.16,25.97,14.37,14.72,8.33,19.34,10.82,44.52,20.73,11.62,12.94,15.02,14.35,13.08,11.73,5.62,-1,10.56,12.02,5.34,16.3,3.87
174.08,11.17,19.75,12.08,6.82,13.76,17.45,25.37,14.99,14.44,10.24,20.66,10.83,44.33,20.26,11.27,12.62,15.58,13.88,13,12.76,6.64,-0.25,11.25,11.26,5.1,18.33,4.65
174.6,10.94,18.96,11.68,6.76,14.03,17.12,24.04,15.02,14.58,12,20.99,10.86,44.44,19.9,10.03,12.51,15.75,14.53,13.2,13.55,8,1.44,10.03,10.31,5.26,18.62,5.35
175.12,11.48,17.82,11.06,7.09,15.04,16.09,22.63,14.15,14.89,12.61,21,11.62,45.29,19.98,9.38,13.1,15.37,15.59,13.48,13.77,9.34,2.91,8.85,9.94,6.23,18.29,5.71
175.64,12,17.65,10.7,7.19,15.39,15.36,22.09,12.61,15.52,11.99,21.55,12.81,46.51,20.54,9.96,13.46,15.59,16.53,12.64,13.96,10.53,3.9,8.71,9.76,7.59,18.46,5.4
176.16,11.51,18.62,10.72,6.94,14.24,15.64,22.84,10.97,15.61,10.65,22.38,13.6,47.39,21.29,10.57,12.81,16.76,17.54,11.03,14.64,11.08,5.1,9.28,9.4,8.28,18,4.32
176.68,10.6,19.85,10.8,6.96,12.57,16.06,24.4,9.86,14.32,9.35,22.27,13.99,47.1,21.53,10.34,11.78,17.23,18.71,9.98,14.8,10.74,5.75,9.97,9.16,8.03,15.89,3.32
177.19,10.54,20.06,10.73,7.51,11.85,15.76,25.44,10.02,12.89,8.57,21.06,14.68,45.79,20.65,9.79,11.33,16.01,19.3,9.85,13.33,10.28,4.7,10.39,8.9,7.41,13.37,3.61
177.71,11.35,18.9,10.53,7.9,12.44,15.11,24.76,11.47,12.58,8.34,20,15.6,44.68,19.14,9.51,11.69,14.39,18.9,10.43,11.09,10.48,3.11,10.55,8.6,6.66,12.19,5.18
178.23,11.65,17.97,10.35,7.45,13.71,14.75,22.56,13.08,12.19,8.78,19.62,15.55,44.55,18.28,9.2,12.48,13.9,18.15,11.51,9.59,11.36,2.67,10.68,8.31,5.94,12.77,6.67
178.75,10.77,18.56,10.61,6.54,15.04,14.92,19.96,13.84,10.91,10.08,19.11,13.94,44.92,18.82,8.51,13.28,14.66,17.47,12.34,8.98,11.87,3.3,10.55,7.94,5.73,14.31,7.14
179.27,9.98,19.91,11.63,6.08,15.52,15.2,17.91,14,9.9,11.56,18.14,11.67,44.9,20.29,8.03,13.81,15.6,16.42,11.99,8.49,12.38,3.93,9.84,8.28,5.85,15.63,6.8
179.79,10.44,20.74,12.81,6.6,14.25,14.76,16.92,13.98,9.77,12.03,17.56,9.89,44.34,21.39,8.24,13.82,15.51,14.94,10.54,7.85,12.67,3.93,8.9,8.94,5.77,16.08,6.22
180.3,11.58,20.36,13.05,7.75,11.97,13.62,17.1,13.46,10.11,11.35,17.55,8.98,43.68,21.26,8.35,13.16,14.27,13.55,8.98,7.74,11.94,3.24,8.15,9.64,6.06,15.94,5.59
180.82,12.02,18.22,12.34,8.3,10.24,13.05,17.88,12.2,10.68,10.49,16.8,8.97,42.81,20.5,7.7,12.25,12.86,12.28,8.06,8.84,11.19,2.23,7.69,10.55,7.51,15.71,4.94
181.34,11.24,15.13,11.77,7.27,9.47,13.91,18.3,11.59,11.1,10.47,14.91,9.78,41.64,20.12,7.11,11.91,12.19,11.2,7.73,10.78,11.15,1.58,8.05,11.44,9.23,15.45,4.3
181.86,9.72,13.6,11.78,5.32,9.48,15.21,18.18,10.99,11.32,11.52,14.49,10.74,40.88,20.12,7.52,12.43,12.54,11.07,7.81,12.65,10.94,1.56,9.15,11.8,9.62,14.82,3.62
182.38,8.21,14.81,11.79,3.7,10.3,15.46,18.45,11.13,12.12,12.87,15.48,10.6,41.12,19.83,8.11,13.13,13.52,11.84,8.1,13.68,9.41,1.61,9.34,11.64,8.69,13.82,2.84
182.9,7.39,17.29,11.7,2.62,11.42,14.65,19.71,12.58,13.08,13.36,14.88,9.1,42.14,19.09,7.49,13.43,14.38,12.3,7.93,13.23,7.32,1.21,7.92,11.2,7.63,13.11,2.23
183.41,7.61,19.11,11.19,2.08,11.97,13.77,21.28,13.83,13.54,12.88,13.54,7.74,43.09,18.25,5.85,13.53,14.64,12.36,6.95,11.87,6.9,0.49,6.64,10.58,7.05,13.26,2.37
183.93,8.34,19.19,10.82,2.41,11.79,13.14,21.9,14.24,13.37,12.24,13.18,7.6,43.36,17.59,4.34,13.59,14.5,13.05,6.05,11.07,8.64,-0.32,7,10.1,6.77,14.16,3.23
184.45,8.98,17.48,10.53,3.4,11.56,12.36,21.07,14.72,12.96,11.79,13.94,7.88,43.35,17.28,3.63,13.28,14.33,14.22,6.23,11.03,10.37,-1.01,8.22,10.32,6.51,15.19,4.09
184.97,9.51,15.03,9.63,4.4,11.71,11.46,19.5,15.64,12.35,11.45,14.53,7.69,43.6,17.16,3.7,12.34,14.11,14.58,7.38,10.91,10.4,-1.18,9.07,11.05,6.02,15.72,4.65
185.49,9.84,13.33,8.42,5.23,11.99,10.99,18.51,16.23,11.34,11.65,14.24,7.33,43.72,16.97,4.11,10.86,13.75,13.7,9.01,10.41,9.22,-0.88,9.65,11.13,5.34,15.49,5.27
186.01,9.7,12.97,7.76,5.86,11.96,11.34,18.85,16.12,10.48,12.7,13.89,7.14,43.83,16.8,4.66,9.09,13.59,12.25,10.54,9.84,7.93,-0.58,10.46,9.76,4.98,15.22,5.99
186.52,9.29,13.36,7.61,5.91,11.69,12.38,19.5,15.6,10.51,13.55,14.35,6.96,43.75,16.74,5.51,7.69,14.06,11.01,11.24,9.46,7.12,-0.08,11,7.56,5.45,15.96,6.1
187.04,9.04,14.18,7.46,5.49,11.41,13.41,20.15,14.71,11.29,12.9,15,7.15,43.63,16.52,6.36,7.41,14.79,10.82,10.93,9.43,6.95,1.22,10.37,6.08,6.45,17.29,5.15
187.56,8.9,15.49,7.24,5.54,11.13,13.95,21.42,13.34,12.13,11.56,15.05,8.41,43.68,16.22,6.55,8.28,14.5,11.77,10.22,9.91,7.49,2.85,8.84,6.21,7.23,17.84,3.79
188.08,8.4,16.6,7.14,6.21,10.85,14.25,21.89,12.02,12.29,11.14,14.66,10.35,43.97,16.71,6.12,9.53,12.49,12.66,9.62,10.83,8.52,3.76,7.58,7.57,7.58,17.23,3.18
188.6,7.46,16.76,7.09,6.48,10.27,14.31,21.51,11.6,11.59,11.35,14.62,11.51,44.33,18.21,5.92,10.57,10.13,12.77,9.3,11.96,9.45,3.59,7.41,9.18,7.77,16.07,3.69
189.12,6.67,16.23,7.06,6.03,9.17,13.47,21.08,12.02,10.9,11.12,15.46,11.14,44.55,19.58,6.66,11.3,9.31,12.66,9.66,13.25,10.11,2.46,8.13,10.33,8.02,15.21,4.64
189.63,6.51,15.59,7.43,5.69,8.2,11.9,21.2,12.14,11.2,10.58,16.95,9.97,44.58,19.77,8.17,11.52,10.04,12.56,10.63,14.44,10.94,0.89,8.99,11.16,8.46,15.67,5.31
190.15,7.02,15.14,8.28,5.87,7.95,11.03,21.31,11.1,12.51,10.35,18.15,9.13,44.09,18.8,9.59,10.99,10.68,12.37,11.29,14.83,11.9,-0.23,9.72,12.1,8.89,17.48,5.55
190.67,7.9,14.8,8.94,6.21,7.98,11.31,20.51,9.53,13.93,10.52,18.15,8.87,42.86,17.5,10.04,10.13,10.29,12.47,10.93,14.39,12.39,-0.5,10.14,12.73,8.86,19.2,5.28
191.19,8.52,14.22,9.01,6.42,7.89,11.46,19.1,8.66,14.51,10.62,17.02,8.7,41.72,16.69,9.26,9.7,9.77,12.64,10.05,13.84,12.1,-0.36,9.81,12.38,8.49,19.94,4.41
191.71,8.47,13.71,9.11,6.45,8.23,10.42,18.03,8.64,14.23,10.47,15.92,8.76,41.29,16.18,8.23,9.98,10.27,12.26,9.71,13.32,11.3,-0.29,9.18,11.49,8.34,20.46,3.23
192.23,8.08,14.24,9.82,6.64,9.56,9.01,17.4,9.12,13.53,10.31,15.49,9.79,41.04,15.29,8.26,10.75,11.57,12.02,10.27,12.46,10.5,-0.24,9.26,11.21,8.29,21.21,2.45
192.74,7.86,16.1,10.92,7.26,11.57,9.13,16.91,10.01,12.7,10.22,14.94,11.43,40.6,14.46,9.2,11.59,12.58,12.94,11.29,11.51,9.75,0.04,9.74,11.34,7.93,20.97,2.4
193.26,7.69,18.1,11.89,7.93,13.64,11.26,16.92,10.95,12.28,10.98,13.93,12.63,40.17,14.6,9.86,12.14,12.88,14.37,12.13,11.05,8.99,0.68,9.6,11.47,7.53,18.73,3
193.78,7.36,18.57,12.05,8.31,15.12,13.82,17.94,11.45,12.5,11.83,13.1,13.13,40.22,15.29,9.82,12.22,12.94,15.07,12.3,11.24,8.67,1.73,9.22,10.85,7.76,15.68,4.09
194.3,7.36,17.46,12.21,8.53,15.52,15.24,19.71,11.7,12.89,11.66,12.49,12.88,41.46,15.55,9.34,12.08,12.91,15.16,11.57,11.87,9.17,2.8,9.78,9.07,8.89,14.12,5.23
194.82,8.02,16.48,11.78,8.81,14.99,15.44,21.35,12.07,13.03,10.82,11.7,11.6,43.46,15.49,8.56,12,12.41,15.27,10.35,12.73,9.83,3.22,11.07,7.88,10.19,16.03,5.74
195.34,8.84,16.59,11.26,9.21,14.05,15.16,21.92,12.37,12.68,10.64,11.46,9.8,44.48,15.8,7.9,11.66,11.56,15.03,9.36,13.57,9.73,2.93,11.68,8.53,10.61,16.64,5.63
195.85,9.53,17.23,10.98,9.4,12.77,14.54,20.97,12.36,11.87,11.44,12.54,8.69,43.76,16.7,7.84,10.63,10.78,14.03,9.03,14.29,9.06,2.21,11.51,9.85,10.17,16.44,5.38
196.37,10.31,17.58,10.5,8.73,11.35,13.49,18.93,12.49,11.15,12.01,13.83,8.76,42.25,17.59,8.38,9.18,10.3,13.17,9.6,14.82,8.87,1.37,11.48,10.07,9.61,16.25,4.93
196.89,11.15,17.17,9.82,7.17,10.8,12.93,17.18,13.08,11,11.17,13.95,9.32,40.96,17.85,9.15,7.99,10.36,13.39,10.81,14.79,8.67,0.95,11.26,9.31,9.08,16.56,4.01
197.41,11.69,16.22,9.83,5.95,11.5,13.42,16.48,13.77,11.28,9.56,13.45,9.4,40.4,17.74,9.86,7.88,10.98,14.02,11.91,13.68,8.9,1.15,10.03,9.05,8.48,16.83,3.15
197.93,11.67,15.58,10.74,6.24,12.32,13.83,16.37,14.39,11.67,9.16,13.64,9.13,40.64,17.74,10.27,9.26,11.71,14.13,12.38,11.88,9.4,1.37,8.31,9.88,7.91,16.27,3.15
198.45,11.07,15.91,11.28,7.65,12.3,13.14,16.29,15.58,12.09,10.47,14.83,9.54,41.02,17.53,9.93,11.24,11.79,13.91,12.2,11.06,9.53,1.12,7.21,10.98,7.37,15.27,3.93
198.96,10.17,16.81,10.65,9.06,11.91,12.08,16.13,17.55,12.73,11.64,16.32,10.66,40.99,16.67,8.84,12.53,10.89,13.91,11.74,12.28,8.9,0.61,7.05,11.46,6.85,14.99,4.74
199.48,9.54,17.4,9.92,9.92,11.61,11.62,16.06,19.33,13.58,11.63,17.02,11.6,40.87,15.73,8.3,12.7,9.87,14.44,11.66,14.23,8.12,0.29,7.1,11.33,6.73,15.69,5.11
200,9.48,17.87,10.08,10.19,11.23,11.73,16.68,19.81,14.36,11.7,16.6,12.3,41.14,15.59,9.62,11.81,9.77,15.61,12.31,15.12,8.2,0.51,6.32,11.08,7.34,16.74,5.19
201,9.62,18.83,10.6,9.96,11.2,12.14,18.29,19.14,14.92,12.84,16.09,13.13,42.01,16.09,12.28,10.17,10.38,17,13.34,15.09,8.88,1.38,5.23,11.01,8.72,17.65,5.35
201.59,9.77,19.65,10.64,9.94,11.98,12.87,20.16,18.46,14.98,14.3,16.34,13.58,42.69,16.48,14.33,9.03,10.71,18.17,14.11,15.24,9.1,2.62,5.33,10.76,10.3,18.26,5.64
202.17,10.3,19.3,9.93,11.01,12.92,13.67,21.22,18.43,14.51,15.09,16.99,13.62,43.36,16.76,14.37,9.59,10.37,18.98,14.2,15.76,8.84,3.51,6.5,10.14,11.25,18.42,5.83
202.76,11.16,17.88,8.76,12.29,13.65,14.36,21.04,18.6,14.47,14.98,17.62,14.28,44.49,17.28,12.84,11.44,10.1,19.23,13.87,15.96,8.77,3.56,7.41,9.74,11.35,17.83,5.98
203.34,11.69,16.61,7.93,10.52,14.95,15.28,20.33,18.49,15.25,14.22,18.06,15.7,44.96,17.84,11.6,13.08,10.34,19.21,13.61,15.35,9.02,3.31,7.94,9.94,10.8,16.5,6.53
203.93,11.76,16.46,8.14,9.52,16.95,16.45,20.19,18.44,15.58,13.48,17.98,16.68,45.09,18.29,12.18,13.71,10.58,19.52,13.28,14.28,9.17,3.83,8.96,10.54,10.13,15.34,7.4
204.51,11.82,17.13,9.44,9.38,18.37,17.39,20.62,18.97,14.89,13.48,17.34,16.18,45.19,18.72,14.3,13.61,11.32,20.02,12.53,13.69,8.94,5.14,10.23,11.37,10.27,15.5,8.08
205.1,12.02,17.76,11.1,9.25,18.12,17.62,20.95,19.58,14.48,14.06,16.52,14.62,45.21,18.87,16,13.29,11.96,20.39,11.56,13.93,9.03,6.33,10.67,11.91,11.38,16.97,8.32
205.69,12.22,17.98,12.33,8.95,16.49,16.99,21.24,19.31,15.06,14.4,15.69,13.61,44.93,18.67,15.98,12.93,12.83,20.55,10.64,14.7,10.32,6.91,10.24,11.49,12.29,18.4,8.23
206.27,12.52,18.12,13.19,8.84,14.54,16.29,21.83,18.36,15.94,14.31,14.99,13.91,44.45,18.64,14.75,12.69,13.5,20.34,9.73,15.57,12.03,6.7,9.96,10.81,12.26,18.58,7.89
206.86,12.94,18.62,13.59,9,13.38,16.57,22.4,17.73,16.7,14.28,15.11,14.55,44.59,19.22,13.38,12.62,13.53,20.26,9.29,16.16,12.72,5.39,10.43,11.05,11.87,17.71,7.51
207.44,13.31,19.17,14,9.68,13.99,17.32,22.74,18.11,17.39,14.35,16.44,14.86,45.81,20.09,12.42,12.6,13.59,20.9,9.84,16.38,12.6,3.62,11.3,11.79,11.75,16.29,7.2
208.03,13.77,18.83,14.46,10.81,16.22,17.29,22.78,19.64,17.56,14.29,17.77,15.2,47.19,20.52,12.14,12.67,13.94,21.71,10.95,16.61,12.56,2.73,11.87,11.84,12.03,14.48,6.7
208.62,14.41,17.41,14.65,11.23,18.58,16.6,22.09,21.62,16.85,14.31,17.81,15.73,47.68,20.06,12.74,12.65,13.97,21.85,11.93,16.95,12.2,3.05,11.56,11.48,12.67,13.18,5.93
209.2,14.78,16.02,14.98,10.33,20.02,15.99,21.12,23.07,15.75,14.41,16.93,16.42,47.31,19.2,14.07,12.07,13.67,21.38,12.31,17.06,11.05,3.8,10.31,11.62,13.22,13.51,5.35
209.79,14.62,15.83,15.21,9.03,20.83,15.6,21.63,24.24,14.99,14.31,16.28,17.4,46.76,19.2,15.36,10.97,13.72,20.93,11.73,16.86,9.8,4.35,8.63,11.77,13.22,14.76,5.4
210.37,14.4,16.83,15.22,8.12,20.33,15.39,24.16,25.66,14.64,14.22,16.31,18.32,46.69,20.8,15.87,10.37,14.39,20.9,10.84,16.42,9.07,4.54,7.32,12.57,12.74,15.42,5.86
210.96,14.69,18.21,15.41,7.52,19.51,15.32,27.03,26.55,14.74,14.66,16.67,18.27,46.94,22.7,15.95,11,15.25,21.32,10.86,15.08,8.77,4.09,6.62,13.13,11.97,15.58,6.19
211.54,15.47,19.3,15.73,7.17,19.84,15.3,28.7,26.08,15.53,16.07,16.83,17.71,46.63,22.83,16.39,12.06,15.76,21.94,11.7,14.33,8.91,2.75,5.77,13.31,11.18,16.05,6.11
212.13,16.17,19.91,16.25,6.89,20.84,15.47,28.97,24.82,16.86,18.37,16.97,17.38,45.76,21.06,17.19,12.74,15.76,22.11,12.12,13.89,9.59,1.29,4.79,13.2,10.62,16.24,5.63
212.72,16.42,20.48,17.84,6.91,21.78,15.78,28.45,23.6,17.85,20.24,17.44,17.89,45.48,19.22,17.92,13.31,15.62,21.34,11.62,14.17,10.48,1.06,5.17,12.77,10.34,15.21,4.92
213.3,16.46,21.57,20.51,7.96,23.02,16.11,28.18,22.28,17.93,20.54,17.75,19.33,46.16,18.66,18.58,13.91,15.8,20.33,10.95,14.72,11.24,2.14,7.42,12.15,10.28,13.74,4.77
213.89,16.62,22.72,22.93,9.91,24.57,16.73,28.63,20.73,17.69,20.2,17.65,20.92,47.02,19.55,19.38,14.07,15.87,20.26,11.07,15.2,11.68,3.32,9.96,12,10.14,13.24,5.92
214.47,17.06,22.76,24.06,11.65,25.68,17.89,28.97,19.86,17.97,20.39,17.82,22.09,47.74,21.32,20.06,13.99,15.3,21.42,12.26,16.04,11.75,3.66,11.38,12.74,9.81,13.7,7.92
215.06,17.6,21.67,23.95,12.36,26.4,19.33,28.66,20.28,18.66,20.6,18.6,23.1,48.73,22.64,20.44,14.13,14.85,23.21,13.68,16.98,11.63,3.43,12.05,13.41,10.11,14.04,9.3
215.64,17.63,20.81,22.98,11.69,27.51,20.54,28.28,21.12,18.86,20.23,19.59,24.34,50.08,22.6,20.93,14.43,15.02,24.85,14.37,17.2,11.55,3.51,12.84,12.81,11.52,13.51,9.2
216.23,17.33,21.53,21.62,9.89,29,20.75,28.4,21.45,18.07,19.92,20.7,25.55,51.21,21.93,21.61,14.77,15.41,25.54,14.62,16.99,11.54,4.25,13.59,11.51,12.95,12.53,8.28
216.82,17.9,23.52,20.68,8.46,29.85,19.54,29.22,21.65,17.32,20.13,21.93,26.15,51.68,22.05,22.24,14.96,16.16,25.28,15.13,17.21,11.53,5.05,13.73,11.16,13.14,12.42,7.48
217.4,19.35,24.83,20.7,8.73,29.52,18.12,30.69,22.32,17.9,20.49,22.75,26.05,51.81,23.16,23.3,14.93,17.64,25.16,15.56,17.58,11.56,5.3,13.55,12.18,12.24,13.39,7
217.99,20.38,24.26,21.72,10.17,28.85,18.07,31.87,23.37,18.91,21.01,22.83,26,52.03,23.96,24.95,15.39,19.33,25.81,15.26,17.25,11.58,5.14,13.61,13.57,11.61,14.11,6.85
218.57,20.86,22.95,23.31,11.47,28.81,19.29,31.99,24.72,18.88,21.91,22.77,26.27,52.28,23.47,25.99,16.7,20.33,26.58,14.56,16.06,11.4,5.1,13.62,14.28,12.01,13.94,6.93
219.16,21.83,22.59,24.58,12.13,29.41,20.59,31.88,26.08,18.51,22.76,23.55,26.2,52.33,22.68,25.93,18.19,20.2,26.47,14.29,14.43,11.36,5.12,13.13,14.33,12.23,13.39,6.56
219.75,23.11,23.03,25.15,12.15,29.95,21.63,32.25,26.69,19.21,23.29,25.32,25.81,52.38,22.96,25.75,19.17,19.36,25.62,14.71,13.18,11.77,4.62,12.7,14.55,11.06,12.88,5.65
220.33,23.69,23.33,25.44,11.63,30.42,22.59,32.26,27.02,20.66,24.05,26.77,26.2,52.38,23.96,26,19.39,18.8,25.37,15.26,13.29,11.8,3.68,12.81,15.21,9.56,12.76,5.01
220.92,23.44,23.69,25.73,10.98,31.58,22.88,31.68,28.45,21.69,25.24,26.82,27.65,52.6,24.79,26.79,18.95,18.9,26.71,15.57,14.37,10.82,3.14,12.97,15.73,9.54,13.48,4.9
221.5,22.98,24.55,26.82,10.45,33.32,22.27,31.58,30.89,22.18,26.23,26.15,28.85,53.33,25.63,28.45,18.6,19.23,29.02,15.96,14.58,10.02,3.28,12.66,15.71,10.95,14.77,4.93
222.09,22.91,25.5,27.96,9.94,34.64,21.77,32,33.05,22.9,26.61,25.99,29.19,54.24,26.76,31.38,18.9,19.42,30.85,16.74,13.43,10.61,4.02,12.27,15.3,12.45,15.76,5.18
222.67,23.42,26.03,28.78,9.41,35.39,22.19,32.42,34.18,24.37,26.71,26.56,29.74,54.79,27.91,30.98,19.13,19.53,30.46,17.76,12.6,11.76,4.3,12.32,15.03,13.27,15.9,6.1
223.26,24.48,26.16,29.07,9.04,35.85,22.96,33.98,33.98,26.24,26.85,27.28,30.97,55.05,28.9,30.47,20.04,20.07,30.59,18.38,13.45,11.81,4.52,12.28,15.31,13.36,15.48,7.38
223.85,25.83,26.44,28.84,8.9,35.62,23.11,36.1,32.64,27.69,26.91,27.75,32.17,55.21,29.59,30.98,21.43,21.59,31.37,18.13,15.15,10.61,4.68,11.23,15.68,13.05,15.14,8.08
224.43,27.03,27.21,28.86,9.15,35.26,22.8,38.11,31.2,28.26,26.97,28.17,33.31,55.11,30.12,32.92,22.49,23.63,32.45,17.54,15.98,9.54,4.57,9.94,14.99,12.57,14.9,8.05
225.02,28.17,27.88,29.68,10.14,36.49,23.05,39.18,30.4,27.96,26.91,28.73,35.06,55.35,30.93,35.72,23.09,25.18,33.6,17.51,15.67,9.78,3.9,10.25,13.36,11.97,14.28,7.94
225.6,29.57,27.95,30.92,11.61,39.3,24.16,39.4,30.44,27.29,27.03,28.98,36.89,56.86,31.98,38.07,23.82,25.82,34.92,17.93,15.2,11.08,3.17,12.19,12.3,11.76,13.5,7.75
226.19,30.78,27.78,32.29,12.4,41.69,25.39,39.24,31.69,27.3,27.95,28.88,37.07,58.76,32.62,39.58,25.11,26.01,36.54,18.18,14.85,12.36,3.47,13.63,12.54,12.37,13.31,6.89
226.78,31.15,28.06,33.5,11.6,42.36,26.44,39.09,33.96,28.57,29.52,29.16,35.24,59.2,32.85,40.68,26.39,26.46,37.93,18.51,14.21,12.93,4.61,13.21,12.79,13.21,13.5,5.81
227.36,31.07,29.08,34.07,9.9,41.8,27.61,39.71,36.18,30.4,30.62,29.83,33.6,58.34,33.78,41.04,26.73,27.26,38.36,19.6,13.56,12.62,5.25,11.92,14.18,13.49,13.35,5.59
227.95,31.27,30.45,34.53,8.88,41.21,28.7,41.3,37.55,31.92,30.58,30.47,34.38,57.52,35.61,40.33,26.25,27.58,38.22,21.22,13.77,11.64,5.26,11.22,15.15,13.5,12.88,6.09
228.53,31.76,31.5,35.86,9.1,41.34,29.05,42.53,37.99,32.84,30.11,31.62,36.99,56.91,36.87,39.47,26.08,27.08,38.38,22.55,14.81,10.79,5.57,11.14,15.03,13.9,12.48,6.62
229.12,32.26,32.07,37.54,9.79,42.41,28.59,42.48,37.58,33.48,30.71,33.2,39.08,56.56,37.11,39.51,26.91,26.72,38.88,23.44,15.73,10.97,6.24,10.81,14.25,14.47,12.52,7.31
229.7,33.16,32.75,38.11,10.12,44.39,28.19,42.41,36.81,34.21,32.81,33.85,39.74,57.54,37.67,40.3,28.36,27.22,39.14,24.14,15.76,11.88,6.59,9.83,13.57,14.42,13.2,8.2
230.29,34.77,33.9,37.46,10.11,46.67,28.61,43.77,36.81,34.49,35.11,33.51,40,60.09,39.08,41.35,29.75,28.02,38.93,24.44,14.88,12.24,6.56,9.21,13.34,13.89,13.54,8.87
230.88,36.3,34.87,37.22,10.14,48.17,29.61,45.92,37.52,33.73,36.32,33.64,40.66,62.33,40.4,42.75,30.74,28.61,38.45,24.22,13.87,11.56,6.5,10.21,13.74,13.49,12.59,9.46
231.46,36.75,35.24,38.57,9.89,48.97,30.28,47.53,38.23,33.51,36.53,36.89,41.58,62.74,40.92,44.7,31.16,29.03,37.92,23.86,14.11,10.58,6.14,11.87,14.51,13.14,11.64,10.34
232.05,36.21,35.65,40.59,8.86,49.92,30.5,48.44,40.65,35.45,36.52,39.28,42.89,62.03,40.59,47.02,31.12,29.34,37.91,23.6,16.21,10.14,5.25,12.23,14.88,12.93,12.78,11.15
232.63,36.03,36.71,41.85,7.87,50.85,31.12,49.06,43.6,37.9,36.9,41.44,44.4,61.51,40.25,48.97,31.4,30.12,39.29,23.64,18.67,10.43,4.71,11.55,14.78,13.43,15.13,11.27
233.22,37.6,38.26,42.45,7.93,51.1,32.49,49.4,46.95,39.96,37.99,42.8,45.35,61.6,41.06,50.02,32.71,31.83,41.69,24.47,19.48,11.34,5.23,11.22,14.97,14.26,15.99,10.54
233.8,40.33,39.86,42.78,8.76,50.99,34.1,49.67,50.07,41.09,39.48,43.3,46.07,62.24,43.03,50.9,34.4,33.51,43.32,26.06,18.29,12.95,5.98,11.29,15.63,14.32,15.38,9.54
